Transaction ID,Date,Customer ID,Gender,Age,Location,Product Category,Quantity,Price per Unit,Total Amount,Payment Method,Shipping Type,Subscription Status,Promo Code Used,Discount Applied,Previous Purchases,Frequency of Purchases,Churn
1,11/5/2023,CUST856,Female,39,Michigan,Sports,1,98,98,Venmo,Free Shipping,Yes,Yes,No,32,Bi-Weekly,Yes
2,8/19/2024,CUST824,Male,36,Florida,Books,3,222,666,Google Pay,Express,Yes,Yes,Yes,34,Quarterly,No
3,10/2/2023,CUST105,Female,36,California,Clothing,3,114,342,PayPal,Next Day Air,Yes,Yes,No,32,Weekly,Yes
4,8/13/2023,CUST428,Male,33,Florida,Electronics,1,16,16,Venmo,Standard,No,Yes,Yes,2,Quarterly,No
5,9/11/2024,CUST160,Female,20,Florida,Footwear,5,839,4195,Cash,Next Day Air,Yes,Yes,Yes,43,Monthly,Yes
6,6/19/2023,CUST237,Male,21,Illinois,Clothing,5,658,3290,Cash,Express,No,No,No,15,Monthly,No
7,5/4/2024,CUST333,Male,19,Michigan,Sports,3,713,2139,Debit Card,Standard,Yes,Yes,Yes,50,Bi-Weekly,Yes
8,7/12/2024,CUST763,Female,57,Ohio,Footwear,2,511,1022,Cash,Next Day Air,No,Yes,No,22,Weekly,No
9,9/1/2023,CUST927,Female,59,North Carolina,Clothing,1,966,966,Google Pay,Standard,No,No,No,25,Monthly,Yes
10,3/1/2025,CUST970,Male,23,Ohio,Books,2,58,116,Credit Card,Next Day Air,Yes,No,No,3,Quarterly,No
11,7/3/2024,CUST429,Male,37,Georgia,Beauty,2,592,1184,Credit Card,Standard,Yes,No,No,32,Weekly,Yes
12,5/26/2023,CUST835,Female,53,Michigan,Footwear,1,213,213,Credit Card,Free Shipping,No,Yes,No,8,Weekly,No
13,2/13/2025,CUST496,Female,35,North Carolina,Home Decor,1,855,855,PayPal,Free Shipping,Yes,No,No,31,Daily,Yes
14,1/22/2025,CUST546,Male,21,Texas,,1,441,441,Debit Card,Standard,No,No,No,4,Weekly,No
15,12/27/2024,CUST422,Male,24,Ohio,Sports,4,69,276,Cash,Standard,Yes,No,No,43,Monthly,Yes
16,6/15/2024,CUST467,Female,21,Florida,Beauty,5,208,1040,Debit Card,Standard,No,No,No,38,Quarterly,No
17,9/3/2023,CUST918,Male,40,New York,Footwear,5,793,3965,Venmo,Standard,No,Yes,Yes,43,Weekly,Yes
18,2/11/2025,CUST744,Male,29,New York,Footwear,1,855,855,Cash,Free Shipping,No,No,No,38,Monthly,No
19,12/16/2024,CUST130,Female,53,California,Books,2,644,1288,Google Pay,Free Shipping,No,Yes,No,38,Weekly,Yes
20,1/6/2025,CUST633,Male,54,Texas,Beauty,1,662,662,Venmo,Next Day Air,No,No,No,46,Weekly,No
21,11/30/2023,CUST844,Female,44,Ohio,Footwear,2,164,328,Venmo,Next Day Air,Yes,Yes,No,12,Monthly,Yes
22,10/6/2023,CUST929,Male,18,North Carolina,Home Decor,5,577,2885,Credit Card,Next Day Air,No,No,No,14,Bi-Weekly,No
23,2/19/2024,CUST310,Male,51,Ohio,Home Decor,3,232,696,PayPal,Free Shipping,No,Yes,Yes,35,Bi-Weekly,Yes
24,7/8/2023,CUST397,Male,20,California,Home Decor,1,819,819,PayPal,Standard,Yes,Yes,No,33,Monthly,No
25,8/14/2023,CUST645,Male,36,Florida,Clothing,5,460,2300,Apple Pay,Free Shipping,No,No,No,12,Daily,Yes
26,4/22/2024,CUST115,Female,60,Ohio,Beauty,4,380,1520,Google Pay,Express,Yes,Yes,Yes,21,Monthly,No
27,3/29/2024,CUST796,Female,28,Texas,Clothing,4,18,72,Debit Card,Express,Yes,No,No,4,Monthly,Yes
28,2/26/2025,CUST799,Male,44,Michigan,Clothing,5,950,4750,Google Pay,Free Shipping,Yes,Yes,Yes,43,Monthly,No
29,12/12/2024,CUST160,Male,46,Florida,Beauty,5,744,3720,Cash,Free Shipping,No,No,No,9,Weekly,Yes
30,10/17/2024,CUST822,Male,33,New York,Beauty,1,795,795,PayPal,Express,Yes,No,No,16,Daily,No
31,3/10/2024,CUST862,Male,33,Michigan,Sports,3,918,2754,Venmo,Standard,No,No,No,40,Monthly,Yes
32,11/10/2024,CUST778,Female,54,North Carolina,Books,4,136,544,Google Pay,Express,No,No,No,36,Bi-Weekly,No
33,5/22/2023,CUST685,Male,27,Ohio,Beauty,1,744,744,Cash,Next Day Air,No,Yes,No,28,Daily,Yes
34,6/20/2024,CUST119,Female,19,California,Clothing,3,605,1815,Debit Card,Standard,No,Yes,No,1,Bi-Weekly,No
35,5/19/2024,CUST198,Female,61,New York,Footwear,3,717,2151,Venmo,Free Shipping,Yes,No,No,14,Weekly,Yes
36,7/25/2023,CUST466,Male,41,Illinois,Clothing,4,456,1824,Google Pay,Express,Yes,No,No,2,Daily,No
37,11/20/2023,CUST407,Male,37,New York,Beauty,3,358,1074,PayPal,Express,No,No,No,15,Bi-Weekly,Yes
38,1/15/2024,CUST285,Male,52,Michigan,Home Decor,1,770,770,Credit Card,Express,No,No,No,4,Quarterly,No
39,8/25/2024,CUST509,Female,22,Texas,Electronics,3,689,2067,Google Pay,Standard,No,Yes,Yes,36,Weekly,Yes
40,1/14/2025,CUST174,Female,36,Florida,Home Decor,5,565,2825,Debit Card,Free Shipping,Yes,No,No,23,Quarterly,No
